OTU;Specimen_no;Barcode;Taxon;kode_cluster;altitude;w_l.s ;w_o_ l.s ;spine_density;spine_shape;ocrea;knee;length;petiole_length;no_of_pairs;uppermost;uppermost;penultimate ;penultimate ;Median;Median;lowermost;lowermost;Prophyll_armature;Peduncle_bracts_shape;rachis_bracts_armature;*nof_cluster;cluster_length;rachilla_no;rachilla_lengtH;bracts_texture;bracts_shape;bracts_texture;bracts_shape;scales_no;shape;L;W ;shape;present_not
121;Elmer 21331;L 0618190;javensis;1;200;6;4;1;1;0;2;35,5;0;4;20,5;3;20,5;3;17,5;3,5;11,5;3;;;;;;;;;;;;1;0;;;;1
122;Ambri&Arifin W 915;L 0617975;javensis;1;50;10;5;2;2;0;2;40;1;5;21;4,5;17;3,5;17;4,5;9;2,5;;;;;;;;;;;;;;;;;1
123;JD 6265 C. elopurensis?;;2: C. elopurensis;8;200;8;4;1;2;2;2;28;8,5;2;20;3,5;19;3,5;;;;;;;;;;;;;;;;0;0;;;;1
124;JD 4637;L 0617914;7: var hypertrichosus;9;25;6;4;0;;1;2;40;0;7;17,5;3,5;16;4;12,5;2,5;7;2;;;;;;;;;;;;;;;;;1
125;Blume BL 2137 / Syntype 1;;C. javensis;1;900;15;5;2;1;0;1;45;0;5;21;5;17;5,5;18;5;8;2;;;;;;;;;;;;;;;;;1
126;Blume syntype 2;;C. javensis;1;900;5;3;1;1;2;1;44;4;6;19;3,5;18,5;3,5;16;3,5;8;2;2;2,4;0;;;;;;;;;;;;;;1
127;isolectotype;;C. javensis;1;900;5;3;1;2;1;1;35;1;5;16;4;15;3;16;3,5;7;1;0;1;0;1;;5;6,0;;;1;1;;;;;;1
128;holotype / lectotype?;;C. javensis;1;900;11;9;2;2;0;1;42;1;6;18;3,5;18;3,5;17;5;9,5;2;2;1;2;;;7;9,0;1;1;;;;;;;;1
129;JD 5353;L 0617421;13: Calamus sp 1;4;1500;20;10;3;0;2;0;123;70;9;20;2;17;3,5;22;3,5;22,5;2,5;2;1;1;;;;;;;;;;;;;;0
130;Chew & Corner RSNB 1892;L 0617415;11: C. tenompokensis;10;1800;13;7;4;0;0;0;100;40;9;;;27;5,5;37;5,5;32;5,5;0;2;0;2;;;;1;1;;;;;;;;1
131;Chew & Corner, Stainton 1653;L 0617414 / K 000521391;11: C. tenompokensis;10;1300;11;6;3;0;0;0;140;50;8;30;3,5;25;4,5;39;5;20;3;;1;0;;;;;0;0;;;;;;;;1
132;Furtado SFN 33102;L 3928280;javensis;1;96;6;3;2;2;1;2;50;;7;;;13;2,5;15;4,5;;;0;1;2;;;;;;;;;;;;;;1
133;Furtado SFN 30842;L3928281;javensis;1;300;6;3;2;1;1;1;50;;6;18;2,5;15;2,5;15;2,5;16;2,5;0;;;;;;;;;;;;;;;;1
134;JD & Manokaran JD 4485;L 3928284;javensis;1;250;6;3;1;2;1;1;40;3,5;4;24,5;3,5;22,5;4;20;5;17,5;4,5;;;;;;;;;;;;;;;;;1
135;Durand ? / herbarium javanicum PH Van Harreveld Sh no 900210/ L3928275;L 3928275;javensis;1;300;5;3;2;3;2;1;40;0;6;18;4,5;17,5;4;15;4,5;9;3;0;1;1;;;;;1;0;;;;1;;;;1
136;BA Krukoff 4181;L 3928277;javensis;1;500;6;3;1;1;2;1;50;0;5;20,5;4,5;20;4;17,5;5;7;3;;;;;;;;;;;;;;;;;1
137;Meijer SAN 20268;;javensis;1;1000;6;4;4;0;0;0;35;0;6;18;4;17;4;21;5,5;8;3;;;;;;;;;;;;;;;;;1
138;Bernard Lee S 52573;L 0617419;11: C. tenompokensis;10;800;35;20;3;0;1;0;94;34;8;25;6;30;7;32;8;22;4;;2;2;2;22,5;19;13,0;;;0;1;;;;;;0
139;JD 5707;L 0617416;11: C. tenompokensis;10;1700;35;15;4;0;1;0;108;30;9;31;6;28;5;30;5;26;5;;;;;;;;;;;;;;;;;1
140;Madulid et al. 7172;L 3928434;14: Calamus sp 2;11;525;9;6;2;0;0;2;55;29;6;;;12,5;2,5;14;2,5;10;2;;;;;;;;;;;;;;;;;1
141;JD, Madulid, Reynoso JD 6176;K 000707845;javensis;1;15;7;4;1;0;1;2;45;0;8;19;2,5;18;2,5;13;2;11;2;0;1;2;;;;5,5;1;1;;;;;;;;1
142;Madulid F1008;L 3928436;javensis;1;15;6;4;1;4;2;2;30;2;7;19;2;20;3;18;2;10;1,5;;;;;;;;;;;;;;;;;1
143;Chew & Corner RSNB 7025;K 000113411;12: var nov;5;1650;7;4;1;0;3;2;55;3,5;5;10;3;12;2,5;18;2;10;1,5;0;;2;4;11;12;8,5;;;1;1;;;;;;1
144;Chew et al. 168;K 000113396;12: var nov;5;2100;7;4;2;3;3;1;50;7;5;17,5;3;15,5;3;19,5;3;13;2;0;1;2;3;9,5;6;3,5;1;1;;;;;;;;1
145;Diwol et al. SAN 144475;K 000209517;12: var nov;5;2000;10;5;2;0;3;2;49;17,5;4;15,5;2,5;15,5;2,5;16;3;14,5;2,5;2;1;2;4;20;9;6,0;;;1;1;;;;;;
146;Kember Mejia 2019;K 000934692;12: var nov;5;1300;15;5;2;3;3;1;39;0;6;17;3,5;16;3,5;16,5;4;8;2;2;1;2;5;18;10;8,0;;;1;1;;;;;;1
147;Yildiz Aumeeruddy YA 308;K 000934680;12: var nov;5;1500;6;3;2;2;3;0;35,5;0;6;14;2;14;3;12,5;2,5;6,5;1,5;2;1;2;4;17;5;6,0;1;1;;;10;2;;;1;1
148;Saw et al. SAN 146090;K 000462801;8: var polyphyllus;2;472;8;5;2;2;2;1;20;1,5;8;21;1,5;20;2;24;2;14,5;1,5;0;1;0;;;;6,0;;;1;1;;;;;;1
149;Maikin & Joseph SAN 125852;K 0001128689;8: var polyphyllus;2;750;8;5;0;;2;1;29;0;9;12;2;13;2;12,5;2;9,5;1,5;0;;2;4;10;8;5,0;;;0;1;;;;;;1
150;Sumbing Jimpin SAN 139385;K000667401;8: var polyphyllus;2;750;7;5;1;0;2;1;45;0;12;17,5;1;18,5;1,5;13,5;0,5;11,5;0,5;1;1;2;5;12;9;4,5;0;1;;;10;2;;;1;1
151;Clemente 5982;K 000112880;8: var polyphyllus;2;750;7;5;0;;2;1;45;2.5;10;12;2,5;12;3;15;3;13;2,5;;2;3;2;11;9;4,5;1;1;;;;;;;;1
152;Jacob Andersen & Rasit bin Abdilah 224;K 000114147 / L 0618008;2: C. elopurensis;8;40;8;5;1;3;2;2;48;35;3;35;5,5;33;6,5;23;5,5;;;;;;;;;;;;;;;;;;;1
153;John Dransfield JD 5774;K 000113232;2: C. elopurensis;8;50;8;5;0;3;2;2;40;25;4;35;4,5;32;6;23;5,5;;;0;1;2;8;6;8;11,0;;;1;1;;;;;;1
154;Sani Sambuling 130;K 000113230;2: C. elopurensis;8;480;6;3;0;3;1;2;38,5;15;2;21,5;4,5;18,5;5;;;;;;;;;;;;;;;;;;;;;1
155;Sani Sambuling 115;K000113258;4: C. impar;6;480;5;3;0;0;1;1;21,5;3,5;2;15,5;2,5;10,5;2,5;;;;;2;1;2;3;6,5;3;4,5;;;1;1;;;;;;1
156;Lorence Lugas 1626;K000113270;4: C. impar;6;700;5;3;0;1;2;1;35,5;8,5;2;22,5;2;13,5;1,5;;;;;2;1;2;;;;;1;1;;;;;;;;1
157;Lorence Lugas 14;K000707461;4: C. impar;6;1000;4;3;0;0;2;1;35,5;12;2;20,5;2,5;18;2,5;;;;;0;1;2;;;;7,5;1;1;;;10;2;;;;1
158;N.M. Watanabe NMW 41;K000209395;4: C. impar;6;30;5;3;1;2;1;1;12;4;2;22,5;4,5;16;4,5;13,5;3,5;;;;;;;;;;;;;;;;;;;1
159;JD 5868;L 0618039;6: var corrugatus;12;400;6;3;0;5;0;1;39;0;7;12,5;2,5;13,5;2,5;13,5;2,5;7,5;1,5;;;;;;;;;;;;;;;;;1
160;Mogea 3615;L 0618040;6: var corrugatus;12;200;5;3;0;5;2;2;27;9;3;13,5;2,5;12,5;3,5;;;14;3,5;;;;;;;;;;;;;;;;;1
161;JD 6080;L 0618038;6: var corrugatus;12;650;5;3;0;5;0;1;30,5;0;5;12,5;1,5;16;2,5;11;2,5;6,5;1;;;;;;;;;;;;;;;;;1
162;JD 4930;L 0618037;6: var corrugatus;12;20;5;3;0;5;0;1;26;0;4;9,5;2,5;11,5;3;10;3;7,5;2;;;;;;;;;;;;;;;;;1
163;JD 1428;K000113194;6: var corrugatus;12;300;5;2;0;5;0;1;35;0;5;10;2;14;2;11,5;2,5;5;0,5;;;;;;;;;;;;;;;;;1
164;P.S. Ashton 19775;K 000113196;6: var corrugatus;12;800;5;3;0;5;0;2;27;;10;6;1,5;6,5;1,5;8,5;2;4,5;1;0;1;2;3;3,5;4;4,5;0;1;;;8;1;;0;;1
165;Dransfield et al. JD 5554;K 0001133850;11: C. tenompokensis;10;1500;20;8;3;0;0;2;100;20;8;28,5;4,5;27,5;4;33;4,5;30;4;0;;0;5;4,5;11;4,5;;;0;1;;;;;;1
166;Chew & Corner RSNB 4056;K 000521385;11: C. tenompokensis;10;1650;22;8;4;0;0;1;150;10,5;7;32;4;31;4;35;5;47;4,5;1;;1;4;12,9;6;5,5;;;0;1;;;;;;1
167;JD 4713;L 0617983;3: C. flabellatus;7;100;9;5;0;2;1;1;25;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
168;Julaihi et al. 74348;K 000707407;3: C. flabellatus;7;200;10;4;2;2;0;2;23,5;1;4;15,5;4,5;11;4;10,5;3,5;6;2;;2;2;5;;14;3,0;;;1;1;;;;;;1
169;Dewol Sundaling 105576;K 000113077;5: var congestiflorus;3;20;6;4;2;3;1;1;22,5;0;5;12,5;2,5;13;3,5;13,5;2,5;5;1,5;2;3;2;2;3,5;10;2,5;1;1;;;;0;;;;1
170;Yii Puan Ching S 44664;K 000521389;15: Calamus sp 3;13;2000;0;0;2;0;0;0;85;70;2;32,5;5,5;30,5;5,5;;;25,5;5,5;3;1;3;2;12;4;2,0;1;;;;13;2;;;;0
171;Diwol & John et al. SAN 144483;K 000209515;15: Calamus sp 3;13;2000;0;0;2;0;0;0;84;50;2;25;4;23,5;4;;;23;4;0;1;3;2;5;5;2,0;2;1;;;13;2;;;;0
172;JD 6506;K 000784730;9: C. kemamanensis/ C. javensis;1;350;8;3;0;1;1;1;31,5;5,5;1;27;4,5;;;;;;;;;;;;;;;;;;;;;;;1
173;Puasa 6712;K 000112883;1: C. amplijugus;14;60;20;8;3;0;1;0;70;0;8;20;6,5;22,5;8;24;8,5;;;2;2;2;2;38;9;20,0;1;1;;;;;;;;1
174;Perumal & Diwol 134344;K 000667397;1: C. amplijugus;144;350;8;4;3;0;1;1;49;0;11;12;3,5;15;4;19,5;4,5;5,5;2;0;1;1;1;24;8;17,0;1;1;;;9;2;;;;1
175;JD 6548;K 000112912;1: C. amplijugus;14;20;10;5;2;0;0;1;50;0;9;18;3,5;15;3,5;16;4,5;9,5;2,5;2;2;2;;;8;7,0;1;1;;;9;0;;;;1
176;WKM 792;K 000113602;11: C. tenompokensis;10;1500;10;4;2;0;2;0;100;45;6;18;2,5;19,5;3;18;3;18;2;0;1;3;2;5;2;3,0;2;1;;;;0;;;;0
177;Lorence Lugas 1600;K 000112925;1: C. amplijugus;14;12;10;6;2;0;0;1;60;2;10;17;4,5;21;5,5;24;5,5;;;2;1;2;2;15;8;12,0;1;1;;;;;;;;1
178;Dius Tadong 320;K 000112903;1: C. amplijugus;14;570;20;6;3;0;0;0;50;0;9;15,5;5;15,5;4;17,5;6;6,5;3;2;1;;;;;15,0;1;1;;;7;1;;;;1
179;atria MAT 018;;javensis;1;1200;6;4;2;3;1;1;42;2,5;6;19,5;3,5;18,5;3,5;13,5;3;7,5;2,5;0;1;2;5;10;7;5,0;;;1;1;;;;;;1
180;atria MAT 023;;javensis;1;1200;5;3;1;0;2;0;68;37;5;18,5;3;17;3,5;21,5;3,5;12,5;2,5;;;;;;;;;;;;;;;;;1
181;atria MAT 024;;javensis;1;1200;8;6;2;1;1;1;28,5;0;6;13;3;13,5;3;13,5;3;8,5;2,5;2;1;2;5;14;12;7,0;;;1;1;;;;;;1
182;atria MAT 010;;javensis;1;1200;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
183;atria MAT 001;;javensis;1;1200;6;4;2;3;1;1;42;2,5;5;19,5;3,5;18,5;3,5;13,5;3;7,5;2,5;0;1;2;5;10;7;5,0;;;1;1;;;;;;1
184;atria MAT 021;;javensis;1;1200;6;4;2;3;1;1;36;0;6;13,5;3,5;13,5;4;12,5;3;7;2,5;0;;2;4;10,5;10;5,5;;;1;1;;;;;;1
185;atria MAT 002;;javensis;1;1200;5;3;1;1;1;1;37,5;2;6;18,5;2,5;16,5;3,5;13,5;3;9,5;2;;;;;;;;;;;;;;;;;1
186;atria MAT 008;;javensis;1;1200;6;4;2;3;1;1;38,5;0;6;16;3;15,5;3,5;14,5;3,5;8,5;2;;;;;;;;;;;;;;;;;1
187;atria MAT 004;;javensis;1;1200;5;3;1;1;1;1;68;29;5;18,5;3,5;17;4;13,5;3,5;9,5;2;;;;;;;;;;;;;;;;;1
188;atria MAT 013;;javensis;1;1200;5;3;1;2;1;1;37;3;7;12;2,5;12,5;3;12,5;2,5;6;2;;;;;;;;;;;;;;;;;1
189;atria MAT 022;;javensis;1;1200;6;3;0;1;1;1;42;2,5;5;18,5;2,5;16;3;13;3;5;1,5;;;;;;;;;;;;;;;;;1
190;atria MAT 011;;javensis;1;1200;5;3;1;1;2;1;40;3;5;17,5;3,5;17,5;2,5;12,5;2,5;7,5;2;;;;;;;;;;;;;;;;;1
191;Rajasegar & Adrian Loo 19;K 000667488;javensis;1;20;10;6;2;3;2;1;55;0;7;21;3,5;21;4;21;4;8;2;2;1;2;4;12;10;9,0;1;1;;;;;;;;1
192;Hj. Othman, Rantai & Jugah S 56410;K 000114271;javensis;1;43;8;5;2;3;1;1;33;2;6;12;3,5;11;2,5;11,5;3,5;8;2;2;1;2;5;;8;4,5;;;;;;;;;;1
193;K.M. Wong WKM 745;K 000113402;javensis;1;1500;5;3;1;2;1;2;30;0;6;8,5;2;8;1,5;8,5;2;8;1,5;2;1;2;4;16,5;11;4,5;;;1;1;;;;;;1
194;Aban Sibot SAN 54826;K 000113412;javensis;1;58;20;10;3;0;2;2;65;0;7;16;4,5;20,5;5;21;5;8;3;0;1;2;3;9;6;7,5;1;1;;;10;2;;;;1
195;Kerr 7785;K 000785897;javensis;1;11;6;2;2;0;1;1;53;1,5;6;16,5;2,5;18;3,5;14,5;3,5;9;2;2;1;2;2;6;3;7,0;0;1;;;;;;;;1
196;Barford, Niyomdham, Ueachirakan, Bogh Pedersen, Burholt 45253;K 0007858900;javensis;1;16;3;2;2;2;1;1;26;4;4;13,5;2,5;13,5;2,5;10,5;3;6,5;15;2;1;2;3;7;7;4,5;0;1;;;;;;;;1
197;MJE Coode 7022;K 000113452;javensis;1;210;7;4;0;1;1;2;50;4,5;7;18,5;2,5;19;3,5;15,5;3;10;2;;;;;;5;5,5;;;1;1;;;;;;1
198;Balajadia 3755;K 000113522;;1;50;10;5;2;1;1;1;55;0;8;17,5;4;17,5;4,5;22;4,5;8;2;;3;2;6;17,5;12;10,5;;;1;2;;;;;;1
199;K.M. Wong WKM 1386;K 000113403;;1;850;4;2;1;2;1;0;26,5;2,5;4;10,5;2;11,5;2,5;10,5;3;8;2;0;1;2;4;5;6;4,5;1;1;;;;;;;;1
200;Vongkaluang 210;K 000785887;javensis;1;33;5;3;1;1;1;1;40;3,5;7;14,5;2,5;13;2;10;2;7;2;;2;2;5;13;8;7,0;;;1;1;;;;;;1
201;Helen Sanderson Ridley s.n. 2;K 000113526;;1;271;8;4;1;0;1;1;40;0;7;15;2,5;15;2,5;14,5;3;6;1,5;0;2;2;2;10;8;5,5;;;1;1;;;;;;1
202;Mc Donald & Afriastini 3443;K 000934684;javensis;1;100;5;3;1;1;1;0;27,5;0,5;5;15;2,5;13,5;2,5;12,5;2,5;8;2;0;1;2;2;4;4;4,0;1;1;;;10;2;;;;1
203;Jacob Andersen & Aninguh Surat 169;K 000114100;var congestiflorus?;3;768;8;5;1;2;1;1;62;3;5;24,5;4,5;23,5;4,5;26,5;5;18,5;3,5;0;1;2;2;10;5;4,0;1;1;;;;;;;;1
204;W. Ave 216;L 3928252;javensis;1;600;10;6;3;3;1;1;48;0;9;17,5;4;19,5;4;17;4;7,5;2,5;;;;;;;;;;;;;;;;;1
205;Atria MAT 062;;C. flabellatus;1;80;4;2;1;3;1;2;61,5;2;40;3,5;;;20;2,5;10,5;0,5;;;;;;;;;;;;;;;;;;1
206;Atria MAT 065;;C. javensis;1;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
207;Atria MAT 85;;C. flabellatus;7;77;6;3;1;2;2;2;42;2,5;3;30;5;;;12,5;2,5;7,5;1;;;;;;;;;;;;;;;;;1
208;Atria MAT 090;;C. flabellatus;7;12;5;3;1;3;1;1;48;2,5;3;23;5,5;;;14,5;3,5;7,5;1,5;;;;;;;;;;;;;;;;;1
209;Atria MAT 092;;C. javensis;1;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
210;Atria MAT 093;;C. javensis javensis;1;130;6;4;1;2;1;1;51;0;8;18;3;16;4;15;4,5;9;3;;;;;;;;;;;;;;;;;1
211;Atria MAT 094;;C. flabellatus;7;130;6;4;1;3;2;1;60;2;3;39;5;;;22;4;15,5;2;;;;;;;;;;;;;;;;;1
212;Atria MAT 095;;C. javensis;1;200;8;4;1;3;2;1;68;2,5;10;9;3,5;18;4;19;4;14;2;;;;;;;;;;;;;;;;;1
213;Atria MAT 096;;C. flabellatus;7;190;10;5;0;0;1;1;56;0;5;32;6,5;18;4;11;2;9;2;1;1;2;3;13;8;2,5;1;1;;;6;1;;;;1
214;Atria MAT 097;;C. javensis;1;127;8;5;1;3;1;1;60;0;8;16,5;3,5;17;4;20;4;8,5;2;;;;;;;;;;;;;;;;;1
215;Atria MAT 100B;;C. javensis;1;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
216;Atria MAT 100C;;C. javensis;1;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
217;Atria MAT 102;;C. flabellatus;7;71;8;5;1;2;1;1;56;1;4;33,5;7,5;;;23;4,5;16;3;;;;;;;;;;;;;;;;;1
218;Atria MAT 103A;;var. Polyphyllus (2 sheet);2;100;10;7;1;2;0;0;95;27;10;20;3;17;3,5;18;3,5;15,5;2,5;;;;;;;;;;;;;;;;;1
219;Atria MAT 106;;C. flabellatus;7;71;8;4;1;2;1;1;41;1,5;2;27;6,5;;;;;;12,5;3;;;;;;;;;;;;;;;;1
220;Atria MAT 107A;;C. flabellatus;7;50;10;5;1;2;1;2;23;2;4;13,5;4,5;;;9;3,5;7,5;7,5;2;1;2;5;40;16;3,0;1;1;;;;;;;;1
221;Atria MAT 108;;C. javensis;1;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
222;Atria MAT 108B;;C. javensis;1;21;10;6;2;2;1;1;10;0;8;4;2;3,5;0,8;4,5;1,5;2;1,5;0;4;2;5;;;3,0;1;1;;;;;;;;1
223;Atria MAT 108C;;C. javensis;1;21;8;5;1;3;2;2;58;0;9;18;4;16;4;17;4,5;8;1,5;1;4;2;7;14;7;6,5;1;1;;;10;0;8;6;1;1
224;Atria MAT 109;;C. amplijugus? (2 sheet);14;50;10;7;2;1;2;1;55;0;8;20;4,5;21;4,5;20;4,5;7,5;2,5;2;1;2;6;11;8;8,0;1;1;;;10;0;70;40;1;1
225;Atria MAT 109C;;C. amplijugus?;14;50;10;6;2;3;2;1;58;0;10;16;3,5;15,5;4,5;15;4,5;16,5;2,5;0;2;2;10;16;13;5,0;;;1;1;;;;;;1
226;Atria MAT 110;;C. javensis;1;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
